what is the closest location?,locations
where is it located?,locations
location?,locations
what is the address?,locations
address of closest location?,locations
address of closest spot?,locations
How late does it stay open?,hours
What time does it open?,hours
What time does it close?,hours
which location is still open?,hours
Who is still open?,hours
I would like a coffee,orderingDrinks
I want a cappuccino,orderingDrinks
Give me an espresso,orderingDrinks
Could I have a cortada?,orderingDrinks
What drinks do you offer?,orderingDrinks
What coffee do you have?,orderingDrinks
"Besides coffee, what do you offer?",orderingDrinks
What is the best coffee drink?,orderingDrinks
What is the cheapest drink?,orderingDrinks
What is the best drink?,orderingDrinks
What you got to eat?,orderingFood
Kitchen still open?,orderingFood
What food is available?,orderingFood
Do you have any sandwiches?,orderingFood
Can I see a menu?,orderingFood
What do you recommend to eat?,orderingFood
Can I get a sandwich?,orderingFood
Can I get a salad?,orderingFood
Any healthy food for sale?,orderingFood
Which is the first location?,general
What's the story of the company?,general
Who started it?,general
What states is it located in?,general
Any new locations planned?,general
Its too cold here.,userFeedback
Staff was rude to me.,userFeedback
I didnt enjoy my time there,userFeedback
Not enough outlets,userFeedback
No space,userFeedback
Too loud,userFeedback
Music was bad,userFeedback
Staff was mean,userFeedback
